Sex,DVRT,Prestige_score,Leaving_Certificate,Educational_level,Type_school
male,113,28,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,101,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,110,69,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,121,57,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,82,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,85,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,84,,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,98,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,92,33,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,88,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,84,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,114,18,taken,3rd_level_complete,secondary
male,70,57,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,109,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,83,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,108,69,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,95,43,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,90,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,107,28,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,86,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,70,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,114,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,117,42,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,112,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,88,,taken,3rd_level_complete,secondary
male,106,42,taken,3rd_level_complete,secondary
male,125,28,taken,3rd_level_complete,secondary
male,94,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,103,,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,123,46,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,100,35,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,27,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,70,51,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,46,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,99,,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,123,43,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,127,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,124,62,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,110,27,not_taken,Senior_cycle_incomplete-vocational_school,vocational
male,94,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,112,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,123,35,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,70,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,102,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,126,27,taken,3rd_level_complete,secondary
male,121,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,100,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,85,31,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,86,31,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,101,28,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,91,40,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,113,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,103,33,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,117,18,not_taken,Senior_cycle_incomplete-secondary_school,secondary
male,72,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,112,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,65,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,97,35,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,100,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,99,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,91,28,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,107,43,not_taken,,secondary
male,94,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,104,36,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,117,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,104,43,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,115,66,not_taken,,secondary
female,123,35,not_taken,Senior_cycle_incomplete-secondary_school,secondary
female,103,43,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,109,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,99,61,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,100,47,taken,3rd_level_complete,secondary
female,100,62,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,107,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,91,30,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,117,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,115,57,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,93,43,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,103,30,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,99,57,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,115,36,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,104,38,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,116,47,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,94,51,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,114,43,taken,3rd_level_complete,secondary
female,113,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,106,,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,119,57,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,114,48,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,108,27,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,97,46,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,83,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,103,43,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,104,64,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,97,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,109,69,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,90,33,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,114,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,99,38,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,94,35,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,86,28,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,93,35,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,91,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,109,40,not_taken,Senior_cycle_incomplete-secondary_school,secondary
female,91,28,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,106,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,109,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,111,51,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,111,,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,106,,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,86,40,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,107,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,103,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,100,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,101,38,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,97,36,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,105,46,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,98,37,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,111,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,88,57,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,123,28,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,98,33,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,94,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,109,28,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,75,33,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,72,18,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,70,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,85,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,108,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,75,28,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,104,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,103,38,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,122,38,taken,3rd_level_complete,secondary
female,110,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,107,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,104,75,taken,3rd_level_complete,secondary
male,70,58,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,116,18,not_taken,,secondary
male,103,43,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,95,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,113,,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,126,61,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,118,71,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,115,27,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,89,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,113,61,taken,3rd_level_complete,secondary
male,85,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,95,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,109,57,taken,3rd_level_complete,secondary
male,111,69,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,116,75,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,90,43,not_taken,Senior_cycle_incomplete-vocational_school,vocational
male,90,28,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,82,31,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,84,33,not_taken,,secondary
male,117,28,not_taken,Senior_cycle_incomplete-vocational_school,vocational
male,71,40,not_taken,Senior_cycle_incomplete-vocational_school,vocational
male,104,69,taken,3rd_level_incomplete,secondary
male,86,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,79,46,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,80,65,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,99,18,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,86,61,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,116,18,taken,3rd_level_complete,secondary
male,124,65,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,98,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,101,35,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,87,43,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,97,40,taken,3rd_level_complete,secondary
male,120,43,taken,3rd_level_complete,secondary
male,103,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,107,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,105,57,not_taken,Senior_cycle_incomplete-secondary_school,secondary
male,99,37,taken,Senior_cycle_terminal_leaver-secondary_school,vocational
male,103,28,taken,Senior_cycle_terminal_leaver-secondary_school,vocational
male,101,28,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,102,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,105,18,taken,Senior_cycle_terminal_leaver-secondary_school,vocational
female,70,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,101,43,taken,3rd_level_complete,secondary
female,90,42,taken,Senior_cycle_terminal_leaver-secondary_school,vocational
female,85,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,104,18,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,87,18,taken,Senior_cycle_terminal_leaver-secondary_school,vocational
female,85,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,102,42,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,94,37,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,93,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,99,37,taken,3rd_level_complete,secondary
female,103,38,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,89,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,77,,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,92,37,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,109,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,91,18,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,109,58,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,105,57,not_taken,Junior_cycle_incomplete-secondary_school,secondary
female,105,18,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,90,69,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
female,99,69,taken,3rd_level_complete,secondary
female,110,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,88,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,101,66,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,91,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,78,18,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,118,65,taken,3rd_level_complete,secondary
female,100,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,100,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
female,85,57,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,106,61,taken,3rd_level_complete,secondary
female,70,,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,97,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,86,,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,92,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,102,38,not_taken,Primary_terminal_leaver,primary_terminal_leaver
female,86,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
female,78,46,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
female,100,18,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,104,61,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,70,31,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,107,75,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,114,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,103,31,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,115,37,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,106,57,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,114,61,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,90,58,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,103,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,92,58,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,113,37,taken,3rd_level_complete,secondary
male,92,37,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,108,37,taken,3rd_level_complete,secondary
male,96,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,70,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,112,75,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,106,28,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,91,37,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,96,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,70,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
